age,no_of_respondents
110,490000
110,490000
121,500000
110,505000
110,515000
111,520000
118,520000
110,520000
118,528000
118,540000
110,588000
115,591000
147,450000
126,458000
148,503000
150,539900
130,568000
132,570000
147,570000
150,578000
132,578000
132,585000
151,790000
65,238000
56,245000
65,260000
59,265000
65,275000
70,285000
60,290000
65,300000
65,310000
66,317000
60,325000
68,330000
65,335000
68,340000
60,348000
60,350000
68,350000
63,360000
68,370000
82,400000
74,406000
69,508000
91,380000
87,385000
87,398000
87,419000
84,420000
83,450000
84,470000
84,485000
102,525000
103,525000
106,530888
100,590000
85,618000
108,628000
90,630000
95,651000
85,658000
92,667000
86,667000
89,672000
92,678800
92,680000
92,715000
92,716000
84,470000
114,500000
124,573000
118,581000
105,595000
120,635000
118,640000
118,692000
110,700000
125,718000
122,720000
135,723000
110,755000
123,830000
117,895000
109,920000
119,968000
144,780000
144,828000
43,238000
65,340000
65,354000
65,360000
65,365000
65,385000
65,386000
59,390000
65,412000
65,425000
76,460000
88,510000
88,535000
82,550000
87,585000
120,750000
123,792000
126,802000
126,880000
122,918000
66,320000
110,311000
104,365000
105,365000
105,365000
103,370000
108,375000
104,375000
104,378000
104,380000
104,385000
106,385000
104,385888
104,388000
104,388888
104,390000
104,390000
106,395000
107,395000
105,397000
106,405000
104,405000
107,405000
106,410000
117,410000
106,413000
106,430000
107,441800
127,440000
123,442000
124,460000
126,465000
123,465000
121,466000
128,466000
123,468000
131,475000
121,475000
121,478000
120,485000
122,486888
129,490000
122,500000
134,508000
132,520000
126,545000
123,468000
148,470500
145,515000
144,523000
147,540000
149,545000
145,553000
149,585000
144,618000
143,630000
143,636000
149,640000
143,650000
145,668000
146,690000
145,700000
155,722000
70,360000
73,370000
73,380000
70,391000
73,420000
91,320000
90,353000
90,355000
90,360000
91,360000
85,365000
86,365000
91,367000
90,370000
90,378000
85,385000
93,398000
92,400000
92,405000
92,407500
93,410000
93,417888
93,420000
92,420000
93,420000
93,425000
93,427800
92,435000
93,435000
93,435000
92,435000
93,436888
93,438000
92,440000
92,440000
93,440000
93,445000
93,452000
93,452000
93,456000
95,465000
93,475000
93,475000
93,478000
97,480000
94,485000
92,485000
93,488000
97,500000
93,500000
99,505000
93,508080
99,510000
93,510000
99,520000
97,520888
96,520888
96,525000
99,528000
93,530000
98,538000
93,545000
93,548000
93,568000
95,580000
110,370000
110,378000
110,402888
110,410000
110,418000
111,420000
110,421000
109,430000
110,430000
110,435000
110,440000
110,440000
111,442000
111,445000
110,458000
110,460000
110,463000
111,470000
110,486000
113,488888
113,505000
118,540000
112,570000
113,575000
113,580000
112,588000
120,592000
112,595000
112,610000
113,625000
112,638000
128,543888
128,552500
128,560000
48,217000
65,280000
60,292000
65,300000
67,330000
65,348000
65,350000
67,350000
65,355000
67,360000
66,363000
65,370000
59,370000
65,375000
76,377000
65,380000
69,382000
59,405000
76,420000
73,508000
60,530000
84,490000
92,590000
85,625000
108,670000
87,670000
96,680000
85,685000
94,700000
90,707900
93,710000
105,715000
92,742500
95,760000
92,766000
124,680000
111,722000
110,758000
119,790000
110,826000
125,885000
129,888000
113,955000
113,960000
90,313000
90,315000
90,318888
90,320000
90,325000
90,327000
86,328000
90,333000
96,340000
94,342000
90,345000
95,345000
90,345000
90,346000
95,348000
88,348000
100,350000
102,355000
85,355000
90,359000
91,360000
95,365000
91,368000
95,368000
101,370000
95,377000
93,415000
110,350000
110,382000
110,390000
110,395000
121,400000
120,400000
110,408000
110,410000
115,410000
110,410000
110,415000
120,440000
130,454000
137,465000
142,465000
130,468000
130,472800
136,509000
130,510000
135,530000
126,536000
130,468000
44,240000
48,258000
44,260000
50,268000
48,275000
68,340000
67,345000
68,365000
91,315000
90,340000
92,345000
91,350000
90,352000
101,353500
102,355000
95,355000
90,355000
85,357000
90,360000
85,370000
93,370000
90,370000
101,370000
94,375000
92,380000
96,380000
92,382000
93,386000
93,388000
92,390000
92,390000
91,390000
86,398000
97,398000
93,400000
95,403000
90,405000
95,405000
94,405000
94,410000
101,410000
92,412000
90,415000
101,415000
95,420000
91,420000
92,420000
90,420000
94,420000
94,420000
94,430000
94,430000
94,432000
92,435000
95,435000
97,435000
102,438000
94,438000
96,440000
96,440000
94,440000
92,445000
90,445000
95,450888
96,452000
92,468000
95,475000
90,478888
92,495000
90,505000
90,505388
90,510000
92,515000
90,515000
92,520888
90,525000
90,540000
90,540000
90,545000
92,547000
90,548000
92,568888
92,468000
110,385000
110,388000
110,390000
120,392000
111,398000
110,405000
110,408000
110,410000
110,412000
109,415000
110,422000
110,430000
110,430000
112,430000
110,435000
110,440000
111,440000
121,440000
110,445000
114,450000
114,450000
114,450000
110,451000
111,455000
113,455000
114,455000
115,455000
110,463000
115,468000
110,470000
114,477000
116,483000
110,483000
110,485000
110,500000
123,508000
110,510000
122,512000
115,515000
110,527000
111,541500
113,580000
115,468000
125,520000
130,535000
134,555000
135,558888
125,568000
125,570000
60,260000
64,268000
64,285000
60,290000
60,290000
64,290000
64,328000
69,350000
64,395000
78,435000
91,300000
91,308000
83,335000
100,380000
101,390000
93,410888
100,411500
96,450000
84,455000
84,472500
96,485000
84,490000
84,500000
105,630000
121,425000
122,478000
122,488000
126,490000
124,496888
122,512000
134,691900
121,735000
115,750000
149,635000
141,692888
146,710000
140,784000
141,825000
151,940888
64,287000
74,295000
60,295000
64,298000
68,305000
74,305000
75,310000
75,310000
76,315000
73,315000
73,318000
73,325000
75,325000
75,330000
74,330888
73,333000
79,335000
79,335000
75,338000
76,340000
72,342000
75,348000
79,360000
82,363000
75,365000
68,370000
79,372000
74,372000
73,380000
78,390000
73,422000
84,365000
105,380000
84,383000
84,385000
100,388000
111,390000
84,390000
105,390000
84,390000
104,390000
88,400000
103,400000
103,400000
103,400000
108,406600
104,410000
103,410000
102,412000
103,415000
110,419000
108,420000
104,420000
99,420500
105,435000
104,435000
89,439800
103,440000
91,441000
116,445000
84,445888
103,446000
107,448000
102,450000
104,450000
96,450000
104,455000
109,460000
107,462000
116,465000
105,468000
101,470000
104,475000
104,488000
105,490000
99,530000
94,535000
94,615000
105,468000
101,470000
128,420000
124,455000
120,460000
133,460000
122,467000
124,470000
132,475000
122,480000
125,480000
123,495000
122,500000
122,500000
122,508000
127,510000
121,520000
122,520000
126,520999
122,523000
126,524000
139,525000
119,528000
121,530000
122,536000
121,540000
123,545000
120,547500
121,550000
121,555000
128,570000
126,580000
121,590000
107,640000
108,690000
107,730000
110,740000
107,747888
139,580000
149,590000
149,602000
141,608000
148,620000
143,660000
146,680000
143,688188
148,720000
142,739888
142,780000
147,800000
40,215000
66,240000
67,250000
58,255000
68,256000
60,260000
66,268000
66,270000
66,270000
67,270000
67,283000
67,285000
63,298000
68,303000
65,310000
68,320000
67,330000
76,350000
64,352000
68,370000
78,378188
74,410000
74,412000
74,420000
87,302000
82,365000
82,375000
82,376000
96,460000
106,618000
101,655000
86,718000
91,745000
91,760000
125,520000
122,548000
133,630000
122,655188
145,782000
145,940888
68,243000
65,250000
65,255000
76,255888
74,260000
65,260000
60,260000
76,262000
73,280000
82,285000
73,285000
82,285000
73,289000
83,293000
67,340000
90,300000
90,303000
84,305000
93,310000
90,315000
93,315000
96,315888
104,318000
83,320000
84,320000
90,320000
91,320000
93,320000
101,325000
102,328000
90,330000
91,330000
90,330000
104,330000
100,330000
96,340000
100,340000
91,345000
103,345000
101,345000
100,348000
91,348000
90,350000
100,350000
101,355000
91,358000
91,358000
100,360000
99,360000
101,360000
106,360000
101,363000
102,365000
101,366000
101,368888
101,370000
93,370000
101,370000
100,375000
94,375500
105,380000
100,380000
93,380000
105,380000
108,380000
104,385000
102,385000
103,385000
93,386000
94,390000
102,390000
105,395000
100,396000
102,405000
107,410000
126,345000
118,360000
121,370000
111,375000
122,375000
121,380000
115,386000
121,390000
121,394888
122,395000
118,398000
125,398000
138,400000
134,400000
120,400000
122,400000
121,405000
121,408000
119,410000
122,410000
120,410000
121,415000
119,415000
127,415000
122,418000
121,418000
121,420000
124,425000
114,428000
123,430000
118,435000
110,438000
126,440000
120,443000
129,445000
111,450000
122,458000
125,468000
125,470000
123,470000
132,475000
123,480000
125,485000
126,500000
124,520000
125,468000
144,485000
147,515000
143,525800
147,530000
147,535000
131,540000
141,548000
146,558000
170,588000
164,595000
144,600000
153,635000
166,645000
184,678888
173,690000
192,729000
40,218000
64,245000
68,247500
64,250000
64,260000
67,265000
67,265000
67,268000
67,268000
67,270000
74,270000
64,270000
68,270000
74,270000
74,270000
67,272000
67,275800
74,278000
68,278000
64,280000
67,280000
74,280000
67,280000
64,280888
68,285000
67,285000
67,285000
67,290000
67,290000
67,290000
67,305000
67,310000
74,310000
74,313000
68,315000
74,319000
67,325000
67,328000
84,268000
84,275000
84,285000
84,285000
84,290000
84,290000
84,295000
89,300000
84,300000
84,302000
84,305000
84,305000
84,306000
84,308000
85,308000
91,308000
84,310000
84,312000
84,315000
105,320000
84,325000
84,328000
84,330000
104,330000
84,330000
83,335000
105,340000
108,340000
90,340000
104,342000
103,343000
104,345000
104,346000
104,348000
104,350000
104,350000
93,350000
108,350000
84,350000
104,354888
104,355000
92,355000
84,355000
103,358000
104,360000
108,360000
92,365000
103,365000
104,368888
103,370000
105,373000
104,375000
93,375000
104,375000
104,380000
104,381888
105,388000
98,388000
92,390000
104,390000
91,390000
92,390000
93,395888
103,398000
104,398000
103,400000
93,410000
103,410000
93,410888
103,412000
93,420000
92,420000
104,422500
96,427000
96,440000
134,421000
121,430000
121,460000
145,540000
152,575000
146,580000
146,590000
146,598000
146,645000
44,210000
44,235000
44,255000
67,250000
67,255000
67,264000
60,271000
67,272000
68,275000
68,280000
67,280000
67,282000
67,288000
67,290000
68,290000
67,290000
68,290000
68,290000
68,295000
68,295000
67,295000
68,295000
68,300000
67,300000
68,300000
67,300000
68,303000
68,305000
67,305000
68,305000
68,305000
67,308000
67,310000
68,315000
68,318000
67,318000
67,328000
82,328000
82,335000
74,338000
82,339000
81,340000
82,340000
74,345000
82,345000
68,350000
75,362000
73,367000
82,370000
88,370000
81,398000
70,450000
70,465000
70,470000
70,470000
83,323000
91,380000
91,388000
97,416000
91,425000
97,430000
93,448000
102,450000
92,450000
92,455000
91,455000
92,463000
92,470000
93,490000
98,600000
94,605000
95,615000
94,630000
90,685000
91,690000
91,735000
91,760000
91,768000
96,780000
92,470000
118,560000
125,562000
128,613000
118,620000
128,625000
119,682000
110,720000
112,760000
112,768000
112,773000
120,788000
117,800000
112,838888
121,850000
117,855000
121,888000
59,255000
65,260000
70,263000
59,265000
60,268000
65,275000
65,276000
68,278000
65,280000
67,280000
73,280000
67,280000
69,280000
67,283000
67,285000
67,285000
68,287000
68,288000
68,288000
68,290000
68,290000
67,293888
67,295000
67,295000
68,295000
60,300000
68,300000
67,300000
68,301000
68,303000
68,308000
65,310000
67,310000
68,310000
67,310000
59,310000
76,310000
65,310000
67,310800
67,314000
69,320000
68,320000
83,333000
82,348000
73,350000
88,350000
73,360000
82,370000
82,373000
67,380000
92,351500
93,353000
84,360000
97,370000
84,385000
92,390000
92,395000
92,398000
92,398000
95,398000
84,398000
84,399000
104,400000
92,405000
92,415000
96,415000
92,418000
92,420000
92,420000
98,425000
101,426000
92,428888
92,430000
92,438800
92,452088
92,465000
104,470000
92,480888
103,488000
104,507000
105,508000
104,510000
107,510000
92,550000
92,586888
97,635000
97,655000
97,663000
104,470000
127,485000
121,488000
121,508000
121,517000
124,525000
127,550000
123,555000
126,560000
139,605000
122,618888
119,650000
150,635000
145,690000
146,760000
150,816000
64,350000
64,380000
67,428000
84,385000
85,450000
84,470000
84,510000
90,555000
90,593000
91,610000
114,650000
103,652000
114,665000
112,673000
95,832000
84,470000
121,700000
121,705000
122,705000
121,728000
121,740000
121,750000
121,760000
131,775000
137,778000
123,779000
135,788000
121,805000
121,808000
131,820000
131,830000
120,875000
120,950000
120,980000
120,1000000
120,1006000
146,815000
146,918000
150,930000
169,960000
150,980000
69,250000
73,250000
60,252000
67,258000
73,260000
73,265000
69,270000
68,270000
69,270000
73,270000
68,271000
69,272000
71,273000
68,273000
67,275000
69,275000
68,277000
68,277000
67,278000
64,280000
67,280000
67,282000
67,283688
67,285000
73,285000
74,285000
69,290000
73,291088
69,292000
69,293000
67,295000
73,308000
82,310000
68,315000
84,327000
98,330000
84,330000
94,341000
107,345000
90,345000
103,345000
103,350000
94,365000
103,380000
94,380000
104,380000
93,391688
90,395000
105,405000
93,405888
98,407000
100,408000
90,430000
105,432000
105,437000
104,445000
90,445000
117,468168
104,480000
102,515000
117,468168
120,400000
122,525000
118,525000
118,548888
134,595000
113,665000
148,630000
146,663000
139,693000
165,800000
31,217000
59,268000
59,290000
65,300000
65,306000
54,312000
67,318000
60,330000
59,330000
76,330000
67,340000
70,340000
65,340000
65,360000
65,365000
65,370000
75,380000
74,380000
67,380888
54,405000
74,420000
72,440000
60,449000
62,540000
69,542800
62,550000
68,553000
69,575000
88,615000
88,668000
88,460000
74,477000
74,480000
84,498000
88,533000
88,560000
92,568000
100,570000
100,580000
90,585000
100,600800
100,634000
90,665000
85,670000
93,670000
100,695000
109,696000
93,700000
100,715000
90,720000
93,740000
95,745000
95,763000
100,770000
100,770000
100,770000
100,783000
91,785000
100,796000
100,796000
93,828000
117,621000
124,672000
115,680000
120,685000
136,695000
115,705000
114,713888
110,735000
136,748000
126,755000
115,808000
115,820000
125,820000
157,835000
115,838000
110,841000
115,845000
115,852800
115,855000
111,855000
121,870000
73,262000
73,278000
73,290000
73,290000
73,295000
73,309000
67,345000
108,300000
84,318000
84,320000
103,325000
95,335000
101,340000
101,340000
90,342800
104,345345
90,347000
90,350000
104,350000
104,350000
102,353000
104,355000
104,355000
104,360000
103,365000
102,368000
102,370000
90,373000
102,378000
93,410000
101,420000
90,420000
93,438000
93,446000
93,448000
93,450000
101,450000
93,450000
102,455000
90,465000
101,468000
93,470000
93,480000
91,490000
99,500000
90,500000
99,523000
90,560000
94,580000
101,468000
93,470000
111,365000
121,385000
114,405000
122,415000
128,418000
122,425000
121,430000
110,450000
110,450000
110,456888
110,460000
121,468888
121,472000
110,500000
113,510000
110,515000
111,635000
121,635000
112,640000
111,660000
121,468888
130,520000
130,525000
146,560000
150,585000
146,615000
146,635000
140,660000
145,668000
146,680000
140,725000
104,690000
120,915000
146,1015000
72,365000
65,380000
72,385000
73,385000
60,453000
68,515000
60,530000
91,445000
82,650000
83,650000
96,862000
95,880000
107,1028000
107,1058000
105,1080000
67,250000
67,258000
74,265000
74,270000
74,280000
67,295000
108,308000
90,312000
99,318000
90,320000
100,320000
106,325000
100,330000
91,332000
102,335000
90,336000
101,338000
104,343000
110,345000
104,345000
91,348000
90,349000
104,350000
106,355000
104,355000
100,356000
104,363000
104,365000
108,365000
100,367000
92,370000
104,375000
107,389000
92,400000
110,408000
104,415000
113,450000
110,337000
110,350000
110,360000
110,360000
123,362000
110,370000
110,376888
110,390000
119,398000
121,400000
120,402000
110,402500
110,410000
111,410888
127,415000
126,418000
131,430000
122,435000
124,435888
124,440000
124,450000
124,455000
135,472000
131,497000
123,553000
142,475000
144,478000
147,490000
146,555000
141,570000
143,580000
67,280000
67,281000
67,285000
67,295000
67,303000
67,305000
67,312000
67,313888
67,315000
77,320000
68,325000
67,330000
67,338000
67,338800
67,339000
67,345000
67,350000
67,357000
67,358000
67,370000
67,375000
67,378000
67,380000
67,380000
82,388000
82,400000
82,438000
70,565000
91,390000
91,433000
92,485000
91,505000
83,518000
92,528000
86,672000
90,700000
100,720000
100,720000
90,725000
100,735000
99,750000
94,851800
127,670000
119,675000
137,718000
119,738000
113,803000
110,815000
117,888000
40,210000
45,243000
58,233000
60.3,236000
56,240000
56,245000
56,245000
59,245000
56,250000
56,250000
64,256000
56,258000
56,260000
67,260000
60,263000
61,268000
59,270000
61,270000
56,280000
59,288000
59,290000
66,290000
65,295000
65,302000
64,302000
67,310000
68,330000
66,345000
60,348000
68,398000
68,416000
82,473888
83,348000
89,354000
93,385000
94,423000
91,440000
112,490000
91,500000
102,560000
95,648000
93,728000
122,450000
122,477000
123,500000
124,528000
118,600000
132,705000
120,750000
120,790000
110,850000
140,965000
146,730000
64,258000
73,265000
60,270000
67,275000
67,277000
67,277000
67,285000
69,286888
67,287000
67,295000
69,298000
69,298000
73,300000
74,308500
73,310000
74,320000
74,320000
74,332000
80,340000
74,342000
82,343000
91,315000
82,315000
93,335000
84,350000
104,350000
103,353000
91,355000
93,355000
84,356000
90,358000
94,360000
90,366000
93,366500
92,367000
91,370000
98,377400
93,378000
91,380000
84,380000
91,380000
103,383000
90,385000
100,385000
100,388000
98,390000
104,390000
91,395000
91,398000
100,400000
97,400000
84,402000
105,405000
93,405000
108,405000
98,405000
101,415000
104,420000
105,425000
101,440000
105,448000
101,448000
100,460000
103,465000
104,470000
104,480000
100,490000
104,470000
116,386000
110,390000
110,408000
110,410000
121,425000
122,450000
121,465000
120,465000
117,468000
118,470000
121,470000
116,480000
115,480000
115,510000
121,538000
120,538000
131,582000
123,638000
133,700000
117,468000
137,580888
147,645000
146,650000
148,660000
143,675000
150,710000
146,715000
148,715000
138,730000
153,737000
144,740000
156,750000
150,762000
86,240000
74,248000
67,262000
72,280000
67,285000
77,288000
68,295000
67,300000
74,303000
74,316000
74,320000
68,325000
84,347000
83,385000
96,345000
106,379000
107,380000
96,382000
103,390000
98,395000
97,420000
100,493000
100,503000
100,543800
116,432000
135,460000
118,510000
118,596800
123,658000
120,672000
147,575000
65,230000
59,230000
66,235000
61,235000
66,238000
61,252000
64,253000
66,255888
65,260000
64,260000
73,272000
74,273000
73,280000
73,281000
67,281000
73,283000
73,286000
73,290000
67,290000
82,292000
74,298000
74,298000
82,300000
73,308000
73,310000
74,318000
69,322000
74,355000
94,310000
109,310000
94,315000
104,315000
104,318000
104,318000
105,318000
104,320000
104,321000
104,323000
104,325000
103,328000
95,330000
100,330000
109,335000
103,335000
104,338000
94,340000
107,340000
84,345000
106,345000
109,346000
108,350000
104,350000
85,357000
108,358000
104,360000
108,360000
111,360000
107,365000
102,368000
85,368000
103,370000
92,373000
103,380000
86,380000
103,385000
104,385000
85,388000
91,388000
115,390000
96,390000
94,394188
94,395000
90,399000
91,402000
93,407000
100,408000
101,415000
91,417000
103,418000
115,420000
102,420000
93,420000
100,422000
102,422800
91,425000
93,428000
95,435000
102,450000
94,480000
111,360000
111,372000
122,380000
111,395500
110,398000
112,400000
110,416888
126,420000
120,420000
135,420000
124,420000
121,430000
110,430000
110,434000
112,435000
110,438000
110,438000
110,440000
112,440000
110,442500
133,443000
110,450000
132,450000
110,453000
122,455000
127,455000
135,456000
120,458000
116,460000
136,464500
110,468000
134,470000
120,475000
116,478000
145,480000
134,480000
125,480000
121,482000
112,484800
110,485000
110,485000
120,488000
120,488000
110,490000
110,490000
110,492000
115,493000
110,496000
110,498000
112,500000
136,515000
110,520000
110,525000
111,552000
117,555000
110,468000
126,448000
145,465000
141,477000
130,515000
134,527000
150,530000
126,538000
149,555000
130,566000
157,568000
148,570000
134,585000
133,600000
132,610000
148,622000
131,640000
130,652000
42,260000
56,210000
56,220000
65,225000
56,230000
65,243888
56,250000
66,280000
65,280000
63,288000
65,298000
68,308000
68,320000
68,322000
60,330000
63,335000
62,340000
66,350000
68,359000
75,360000
67,360000
60,368000
68,375000
68,380000
75,382000
68,382888
69,385000
67,387000
103,500000
69,518000
181,810000
84,335000
91,410000
91,478000
85,480000
91,480000
104,495000
86,495000
91,500000
101,515000
82,520000
105,520000
84,533000
91,568000
100,569000
92,610000
90,632000
90,632000
89,650000
95,660000
90,677000
89,695000
102,700000
90,725000
95,780000
117,490000
120,580000
117,591000
105,602000
130,615000
133,630000
120,650000
119,655000
118,670000
122,755000
132,766000
107,865000
110,880000
107,948000
117,970000
117,978000
65,375000
65,398000
88,450000
82,495000
87,580000
120,830000
147,915000
105,360000
103,370100
104,377000
107,378000
104,379000
103,380000
104,380000
104,390000
105,390000
104,400000
102,400000
108,405000
104,408888
107,410000
107,415000
104,420000
104,422000
104,423888
106,430000
108,438000
106,440000
108,460000
106,462500
113,480000
104,488000
128,425000
123,430000
124,445000
128,455000
123,459000
122,460000
126,465000
123,466000
132,470000
120,477000
127,480000
127,485000
122,492000
122,499000
140,520000
135,545000
124,560000
150,520000
146,538000
147,545000
158,555000
146,560000
149,565000
152,600000
146,619000
147,620000
144,620000
148,625000
151,660000
149,685000
146,695000
149,700000
147,740000
154,765000
50,278000
50,305000
70,338000
70,350000
70,375000
69,380000
91,346800
95,350000
91,355888
90,373000
90,380000
95,383000
90,388000
93,390000
91,392888
95,395000
91,396000
93,400000
93,415000
90,415000
93,418000
93,418888
94,420000
93,420000
93,420000
93,423888
93,430000
93,435000
97,439888
93,440000
93,443000
97,444888
93,448000
93,448000
92,450000
92,450000
93,452000
93,455000
93,455000
94,458000
93,463000
95,465000
93,465000
93,466888
94,470000
93,482000
93,485000
93,485000
93,490000
97,490000
94,500000
97,505000
96,505000
99,510000
97,510000
99,512000
93,520000
97,525000
93,538000
93,540000
93,540000
98,550000
93,555000
97,556000
94,470000
111,382000
110,386800
111,390000
110,398000
110,400000
110,405000
110,406000
110,410000
110,410000
110,410000
110,414000
110,418000
114,420000
110,425000
110,425000
110,428000
110,430000
110,430000
110,435000
110,440000
110,450000
110,460000
110,475000
110,479388
114,500000
114,530000
110,535000
115,564000
113,585000
113,588000
113,590000
115,592000
116,598888
116,600000
114,610000
130,530000
128,545000
128,571000
46,240000
60,308000
60,310000
60,310000
65,315000
60,325000
65,340000
65,355000
72,360000
67,362000
66,365000
65,368000
67,370000
65,380000
66,388888
71,420000
65,442000
65,470000
69,495000
60,500000
69,525000
67,530000
67,555000
78,775000
65,470000
88,542000
86,580000
82,585000
85,640000
95,650000
90,650000
95,658000
85,660000
90,665000
92,668000
96,670000
95,680000
108,690000
95,700000
96,700000
90,705000
92,710000
95,728000
92,735000
87,740000
90,745000
90,750000
92,805000
110,890000
110,900000
118,958000
90,312000
90,315000
90,315000
90,320000
87,320000
90,320800
102,330000
90,338000
94,340000
96,340000
91,340000
101,348000
91,348000
90,349200
100,350000
101,360000
100,360000
96,362000
94,365000
93,365000
101,365000
95,370000
91,370000
100,378000
94,385000
103,398000
93,400000
91,420000
110,350000
110,355000
110,367000
110,380000
110,388000
115,400000
110,400000
110,405000
110,418000
110,428000
122,428800
110,430000
115,430000
123,439000
110,442000
111,459000
110,494000
131,422000
130,445000
130,447000
130,470000
130,473800
130,482000
131,490000
130,495000
130,495000
125,500000
143,510000
141,530000
143,550000
47,240000
47,255000
47,260000
47,268888
45,280500
67,312000
68,330000
69,338000
68,358000
69,367000
69,370000
95,320000
85,340000
90,345000
91,345000
88,348000
92,350000
90,352000
90,352000
90,355000
93,360000
89,360000
90,365000
100,366888
89,368000
90,370000
89,370000
92,370388
94,371000
102,372000
100,375000
101,375000
91,375000
90,380000
94,380000
102,380000
92,388000
95,390000
92,392000
94,392000
93,395000
94,403000
93,405000
95,405000
90,408000
94,408000
102,410000
94,410000
94,415000
94,415000
